day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_COLLISIONS
5,2015,01,16,2015-01-16,33.4,14.9,1012.0,9.5,7.3,13.0,25.1,43.0,25.0,0.0,999.9,0,563
5,2013,01,04,2013-01-04,33.4,18.6,1017.0,10.0,6.5,13.0,24.1,37.0,30.0,0.0,999.9,0,505
2,2018,01,02,2018-01-02,17.9,2.8,1028.1,10.0,7.0,13.0,20.0,26.1,7.0,0.0,999.9,0,654
6,2018,01,13,2018-01-13,43.6,36.8,1010.6,7.5,7.8,13.0,26.0,61.0,24.1,0.59,999.9,0,603
7,2017,01,08,2017-01-08,20.1,7.2,1024.8,7.9,7.5,13.0,21.0,26.1,16.0,0.32,999.9,0,406
3,2018,01,31,2018-01-31,24.9,6.8,1022.1,10.0,6.0,13.0,24.1,36.0,18.0,0.02,999.9,0,596
1,2016,01,11,2016-01-11,35.2,13.1,1008.8,10.0,9.4,13.0,28.0,59.0,28.9,1.03,999.9,0,680
6,2013,01,19,2013-01-19,37.3,18.1,1024.7,10.0,7.8,13.0,24.1,51.1,28.0,0.0,999.9,0,484
2,2015,01,13,2015-01-13,29.5,17.3,1030.6,9.8,7.3,14.0,19.0,39.0,19.0,0.35,999.9,0,613
6,2018,01,06,2018-01-06,10.2,-9.4,1021.0,10.0,9.7,14.0,26.0,19.0,8.1,0.0,7.1,0,599
2,2013,01,22,2013-01-22,22.4,4.0,1014.4,9.9,8.4,14.0,25.1,30.9,17.1,0.0,999.9,0,544
5,2015,01,09,2015-01-09,24.9,7.5,1019.3,8.7,7.4,14.0,21.0,33.1,16.0,0.0,999.9,0,751
7,2014,01,26,2014-01-26,21.4,5.3,1006.0,9.8,6.9,14.0,22.9,28.0,17.1,0.04,3.9,0,465
5,2015,01,30,2015-01-30,34.2,23.0,1012.6,7.8,6.7,15.0,29.9,37.9,19.0,0.07,5.9,0,622
4,2014,01,02,2014-01-02,28.5,19.6,1018.8,9.2,9.8,15.0,21.0,33.1,24.1,0.02,999.9,0,603
1,2014,01,27,2014-01-27,34.8,17.4,1006.9,10.0,5.9,15.0,24.1,44.1,25.0,0.0,3.9,0,511
4,2017,01,26,2017-01-26,49.2,34.4,997.8,9.8,5.1,15.0,27.0,54.0,45.0,0.0,999.9,0,563
4,2013,01,24,2013-01-24,16.8,-1.7,1023.0,10.0,6.7,15.0,27.0,21.9,12.0,0.0,999.9,0,554
6,2015,01,10,2015-01-10,21.1,-0.3,1028.0,10.0,7.5,15.0,20.0,33.1,16.0,0.07,999.9,0,481
5,2014,01,03,2014-01-03,15.6,6.7,1014.9,3.8,10.1,15.0,25.1,24.8,10.0,0.58,999.9,1,423
3,2017,01,04,2017-01-04,44.6,37.3,998.8,7.9,6.1,15.0,27.0,52.0,39.9,0.49,999.9,0,590
7,2016,01,10,2016-01-10,50.4,45.9,1004.8,5.3,8.2,15.9,26.0,59.0,39.9,0.77,999.9,0,462
3,2015,01,07,2015-01-07,20.7,5.7,1015.9,9.7,9.5,15.9,29.9,23.0,15.1,0.05,999.9,0,538
6,2015,01,17,2015-01-17,22.2,1.8,1026.1,10.0,6.5,15.9,26.0,43.0,17.1,0.0,999.9,0,495
4,2020,01,16,2020-01-16,45.0,33.2,1014.6,7.8,7.4,15.9,34.0,50.0,37.9,0.11,999.9,1,547
