day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_COLLISIONS
1,2019,12,9,09/12/2019,46.8,43.4,1021.9,4.4,2.9,8,18.1,54,28,0.21,999.9,1,737
4,2012,12,6,06/12/2012,35,16.8,1025.5,10,3.6,19,27,45,28,0.01,999.9,0,620
5,2012,12,14,14/12/2012,41.4,23.2,1024.4,10,4.1,18.1,25.1,48,28,0,999.9,0,648
3,2012,12,26,26/12/2012,32.2,25.3,1022.1,8.8,9.5,19,29.9,39.2,28,0.13,999.9,1,531
6,2013,1,19,19/01/2013,37.3,18.1,1024.7,10,7.8,13,24.1,51.1,28,0,999.9,0,484
2,2013,2,5,05/02/2013,29.1,20.3,1013.8,6.5,4.7,8.9,15,30,28,0.01,999.9,0,566
1,2013,3,18,18/03/2013,32.1,14.1,1026.9,8.6,7.5,13,21,36,28,0,999.9,1,623
5,2013,3,22,22/03/2013,34,13.9,1007.8,10,7.5,12,22,41,28,0,999.9,0,604
6,2018,2,17,17/02/2018,34.5,18.7,1024.9,9.3,5.2,11.1,22,42.1,28,0.04,999.9,1,604
7,2018,2,18,18/02/2018,37.2,27.4,1023.6,7.1,4.7,9.9,18.1,44.1,28,0.53,999.9,1,472
2,2016,1,26,26/01/2016,41.4,26.9,1018.9,9.8,5.1,8.9,25.1,48,28,0,18.9,0,734
4,2018,11,15,15/11/2018,31.9,18.1,1033,7.7,999.9,999.9,999.9,43,28,0,999.9,1,1065
6,2016,1,30,30/01/2016,32.8,15.8,1014.6,10,6,11.1,22,41,28,0,5.9,0,596
7,2016,1,31,31/01/2016,42.6,24.5,1013.7,10,5.6,11.1,22,55.9,28,0,5.9,0,532
4,2013,12,26,26/12/2013,31.9,18.7,1026.3,10,4.5,8,15.9,35.1,28,0,999.9,0,428
3,2020,12,30,30/12/2020,33.4,15.3,1030.4,10,3.9,11.1,17.1,43,28,0,999.9,0,238
4,2020,12,31,31/12/2020,43.9,33.8,1019.1,8.3,5.5,11.1,22.9,48,28,0.09,999.9,1,278
